StageId	ModelId	NpcId
30000101	Me1SwordMd002001	8120
30000102	Me1SwordMd002001	8120
30000103	Me1SwordMd002001	8120
30000104	Me1SwordMd002001	8120
30000105	Me1SwordMd002001	8120
30000111	Me1SwordMd002001	8120
30000201	Mb1OrphanMd030001	8150
30000202	Mb1OrphanMd030001	8150
30000203	Mb1OrphanMd030001	8150
30000204	Mb1OrphanMd030001	8150
30000205	Mb1OrphanMd030001	8150
30000211	Mb1OrphanMd030001	8150
30000301	Mb1LuolanMd010001	8160
30000302	Mb1LuolanMd010001	8160
30000303	Mb1LuolanMd010001	8160
30000304	Mb1LuolanMd010001	8160
30000305	Mb1LuolanMd010001	8160
30000311	Mb1LuolanMd010001	8160
30000401	Mb1VirginbioMd030001	8170
30000402	Mb1VirginbioMd030001	8170
30000403	Mb1VirginbioMd030001	8170
30000404	Mb1VirginbioMd030001	8170
30000405	Mb1VirginbioMd030001	8170
30000411	Mb1VirginbioMd030001	8170
30000501	Mb1LuxiyaMd000003	8190
30000502	Mb1LuxiyaMd000003	8190
30000503	Mb1LuxiyaMd000003	8190
30000504	Mb1LuxiyaMd000003	8190
30000505	Mb1LuxiyaMd000003	8190
30000511	Mb1LuxiyaMd000003	8190
30000601	Mb1SandwormMd030001	8180
30000602	Mb1SandwormMd030001	8180
30000603	Mb1SandwormMd030001	8180
30000604	Mb1SandwormMd030001	8180
30000605	Mb1SandwormMd030001	8180
30000611	Mb1SandwormMd030001	8180
30000701	Mb1SwordMd030001	8130
30000702	Mb1SwordMd030001	8130
30000703	Mb1SwordMd030001	8130
30000704	Mb1SwordMd030001	8130
30000705	Mb1SwordMd030001	8130
30000711	Mb1SwordMd030001	8130
30000801	Mb1XiuMd010003	8310
30000802	Mb1XiuMd010003	8310
30000803	Mb1XiuMd010003	8310
30000804	Mb1XiuMd010003	8310
30000805	Mb1XiuMd010003	8310
30000811	Mb1XiuMd010003	8310
30000901	Mb1BraveMd010011	8215
30000902	Mb1BraveMd010011	8215
30000903	Mb1BraveMd010011	8215
30000904	Mb1BraveMd010011	8215
30000905	Mb1BraveMd010011	8215
30000906	Mb1BraveMd010011	8215
30000907	Mb1BraveMd010011	8215
30000908	Mb1BraveMd010011	8215
30000909	Mb1BraveMd010011	8215
30000910	Mb1BraveMd010011	8215
30000911	Mb1BraveMd010011	8215
30000912	Mb1BraveMd010011	8215
30000913	Mb1BraveMd010011	8215
30000914	Mb1BraveMd010011	8215
30000915	Mb1BraveMd010011	8215
30000916	Mb1BraveMd010011	8215
30000917	Mb1BraveMd010011	8215
30000918	Mb1BraveMd010011	8215
30001001	Mb1LuosaitarenMd000001	8322
30001002	Mb1LuosaitarenMd000001	8322
30001003	Mb1LuosaitarenMd000001	8322
30001004	Mb1LuosaitarenMd000001	8322
30001005	Mb1LuosaitarenMd000001	8322
30001011	Mb1LuosaitarenMd000001	8322
30001201	Mb1MelodyhuaxuMd10001	8352
30001202	Mb1MelodyhuaxuMd10001	8352
30001203	Mb1MelodyhuaxuMd10001	8352
30001204	Mb1MelodyhuaxuMd10001	8352
30001205	Mb1MelodyhuaxuMd10001	8352
30001211	Mb1MelodyhuaxuMd10001	8352
30001301	Mb1JiabailieMd000001	8360
30001302	Mb1JiabailieMd000001	8360
30001303	Mb1JiabailieMd000001	8360
30001304	Mb1JiabailieMd000001	8360
30001305	Mb1JiabailieMd000001	8360
30001311	Mb1JiabailieMd000001	8360
30300101	Me1SwordMd002001	8120
30300102	Me1SwordMd002001	8120
30300103	Me1SwordMd002001	8120
30300104	Me1SwordMd002001	8120
30300105	Me1SwordMd002001	8120
30300201	Mb1OrphanMd030001	8150
30300202	Mb1OrphanMd030001	8150
30300203	Mb1OrphanMd030001	8150
30300204	Mb1OrphanMd030001	8150
30300205	Mb1OrphanMd030001	8150
30300301	Mb1LuolanMd010001	8160
30300302	Mb1LuolanMd010001	8160
30300303	Mb1LuolanMd010001	8160
30300304	Mb1LuolanMd010001	8160
30300305	Mb1LuolanMd010001	8160
30300401	Mb1VirginbioMd030001	8170
30300402	Mb1VirginbioMd030001	8170
30300403	Mb1VirginbioMd030001	8170
30300404	Mb1VirginbioMd030001	8170
30300405	Mb1VirginbioMd030001	8170
30300501	Mb1LuxiyaMd000003	8190
30300502	Mb1LuxiyaMd000003	8190
30300503	Mb1LuxiyaMd000003	8190
30300504	Mb1LuxiyaMd000003	8190
30300505	Mb1LuxiyaMd000003	8190
30300601	Mb1SandwormMd030001	8180
30300602	Mb1SandwormMd030001	8180
30300603	Mb1SandwormMd030001	8180
30300604	Mb1SandwormMd030001	8180
30300605	Mb1SandwormMd030001	8180
30300701	Mb1SwordMd030001	8130
30300702	Mb1SwordMd030001	8130
30300703	Mb1SwordMd030001	8130
30300704	Mb1SwordMd030001	8130
30300705	Mb1SwordMd030001	8130
30300801	Mb1XiuMd010003	8310
30300802	Mb1XiuMd010003	8310
30300803	Mb1XiuMd010003	8310
30300804	Mb1XiuMd010003	8310
30300805	Mb1XiuMd010003	8310
30301001	Mb1LuosaitarenMd000001	8322
30301002	Mb1LuosaitarenMd000001	8322
30301003	Mb1LuosaitarenMd000001	8322
30301004	Mb1LuosaitarenMd000001	8322
30301005	Mb1LuosaitarenMd000001	8322
30301201	Mb1MelodyhuaxuMd10001	8352
30301202	Mb1MelodyhuaxuMd10001	8352
30301203	Mb1MelodyhuaxuMd10001	8352
30301204	Mb1MelodyhuaxuMd10001	8352
30301205	Mb1MelodyhuaxuMd10001	8352
30301301	Mb1JiabailieMd000001	8360
30301302	Mb1JiabailieMd000001	8360
30301303	Mb1JiabailieMd000001	8360
30301304	Mb1JiabailieMd000001	8360
30301305	Mb1JiabailieMd000001	8360
